,Sätze,Durchschnittliche Wahrscheinlichkeit (%),Maximale Wahrscheinlichkeit (%),Minimale Wahrscheinlichkeit (%),Standardabweichung der Wahrscheinlichkeiten,Anzahl der Unsicheren Sätze,Anzahl der False Positives,Durchschnittliche Satzlänge (Wörter)
drop_große_schraube,5.0,98.98380041122437,99.0024209022522,98.95110726356506,0.01851105439580159,0.0,0.0,7.4
give_tip_or_bottom,5.0,98.70086908340454,98.86027574539185,98.39124083518982,0.19027813740759536,0.0,0.0,5.4
give_griff,5.0,98.55125546455383,98.65933656692505,98.4529435634613,0.0881353442665863,0.0,0.0,4.8
give_kleine_schraube,5.0,98.25148582458496,98.48012328147888,97.9614794254303,0.19453501212341198,0.0,0.0,5.4
give_große_schraube,5.0,97.79229521751404,97.91820049285889,97.38557934761047,0.20406955608916252,0.0,0.0,6.4
check_spitze,5.0,96.06033444404602,97.14407920837402,92.15769171714783,1.9525853825723558,0.0,0.0,4.6
arbeitsmodus,5.0,95.60371518135071,96.0148274898529,94.61695551872253,0.515435115583195,0.0,0.0,4.2
offener_modus,5.0,95.38703918457031,95.60105204582214,94.65566873550415,0.3681323421491153,0.0,0.0,5.2
check_count_spitze,5.0,95.18616557121277,96.12972140312195,93.87438893318176,0.8861800559139679,0.0,0.0,6.6
drop_griff,5.0,94.23129796981812,98.47632050514221,77.9708743095398,8.13306914470185,0.0,0.0,7.4
check_große_schraube,5.0,92.47267007827759,93.3843195438385,89.63034749031067,1.4309287984234005,0.0,0.0,6.2
check_kleine_schraube,5.0,92.24690198898315,92.98453330993652,90.39364457130432,1.0011790696656289,0.0,1.0,5.8
check_griff,5.0,92.14572548866272,96.66428565979004,75.68188309669495,8.24033928056395,0.0,0.0,4.6
Gesamtstatistik,124.0,90.81759570587066,99.04417991638184,36.899855732917786,11.129065918060862,0.0,4.0,5.629032258064516
open_rechten_greifer,5.0,90.70729851722717,91.5946364402771,89.30842280387878,0.8205689326713814,0.0,0.0,5.0
drop_spitze,5.0,89.25219893455505,98.30196499824524,55.5122971534729,16.892126268418135,0.0,0.0,7.6
check_count_oberteil,5.0,89.10035133361816,94.98520493507385,73.48755598068237,8.37605204707538,0.0,0.0,5.8
tell_next_step,5.0,89.02230143547058,95.94393968582153,75.02362132072449,7.576994835460395,0.0,0.0,4.8
drop_all,4.0,88.5431632399559,97.24855422973633,70.0164258480072,11.113122599794307,0.0,2.0,6.5
open_linken_greifer,5.0,88.28543543815613,88.71011137962341,87.83528804779053,0.30559134025759094,0.0,0.0,5.0
check_count_kleine_schraube,5.0,86.99728965759277,92.910236120224,74.25515651702881,6.707414864332234,0.0,1.0,6.6
start_application,5.0,86.29007458686829,87.34242916107178,84.69892740249634,1.0569671535636818,0.0,0.0,2.4
drop_kleine_schraube,5.0,84.65058445930481,99.04417991638184,61.514294147491455,17.638587539575052,0.0,0.0,8.6
stop_application,5.0,79.50146198272705,83.3723247051239,72.34088182449341,3.8860483006891746,0.0,0.0,2.6
do_next_step,5.0,76.2845891714096,95.60062885284424,36.899855732917786,24.52564284937005,0.0,0.0,4.2
check_count_große_schraube,5.0,75.73670148849487,94.05484795570374,44.61018443107605,19.569815327830565,0.0,0.0,7.8
