Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;S‰tze;Durchschnittliche Wahrscheinlichkeit (%);Maximale Wahrscheinlichkeit (%);Minimale Wahrscheinlichkeit (%);Standardabweichung der Wahrscheinlichkeiten;Anzahl der Unsicheren S‰tze;Anzahl der False Positives;Durchschnittliche Satzl‰nge (Wˆrter)
drop_groﬂe_schraube;10.0;98,90468299;99.00880455970764;98.65337610244751;0.09896448259337828;0.0;0.0;7.4
drop_griff;10.0;97,40433693;98.47632050514221;93.79057884216309;1.5423863689938075;0.0;0.0;7.6
give_groﬂe_schraube;9.0;97,20814361;97.92509078979492;95.15461325645447;0.9255342459914804;0.0;1.0;6.666666666666667
give_kleine_schraube;8.0;96,55632749;98.43920469284058;86.99720501899719;3.6230381148125566;0.0;1.0;5.5
check_spitze;9.0;96,40432066;97.09930419921875;94.36663389205933;1.0914028528045656;0.0;0.0;4.777777777777778
drop_spitze;10.0;95,69232941;98.30196499824524;81.83108568191528;4.722369776530286;0.0;0.0;7.4
give_tip_or_bottom;10.0;94,37677026;98.84910583496094;55.94996213912964;12.809912986118116;0.0;0.0;5.4
give_griff;10.0;94,31825221;98.65933656692505;56.854790449142456;12.48853881599458;0.0;0.0;4.9
tell_next_step;5.0;92,43962049;95.94393968582153;88.63297700881958;2.9064095076975582;0.0;0.0;4.8
check_groﬂe_schraube;10.0;92,17905521;93.41208338737488;89.63034749031067;1.3807332617764232;0.0;0.0;6.2
check_count_spitze;9.0;85,29714346;96.12972140312195;41.186267137527466;19.401370166554308;0.0;0.0;6.444444444444445
Gesamtstatistik;217.0;84,18789054;99.03135299682617;13.026401400566101;19.920640752948653;0.0;19.0;5.838709677419355
drop_kleine_schraube;10.0;83,69896233;99.03135299682617;54.81218695640564;18.2167073433063;0.0;2.0;8.7
check_count_oberteil;7.0;80,21444593;94.98520493507385;69.78023052215576;10.272906090875345;0.0;0.0;6.0
check_count_groﬂe_schraube;10.0;79,08621252;94.01543736457825;38.40237259864807;16.188490095305365;0.0;4.0;7.9
open_rechten_greifer;7.0;78,89213775;90.54791927337646;13.183382153511047;26.83175193546817;0.0;0.0;5.142857142857143
start_application;5.0;78,59577298;87.34242916107178;61.717015504837036;9.232791155069531;0.0;0.0;2.4
stop_application;5.0;77,24444509;82.05713033676147;72.08724021911621;4.243190703928799;0.0;0.0;2.6
offener_modus;5.0;76,12834156;95.59527635574341;23.018768429756165;28.21193935351384;0.0;1.0;5.0
check_count_kleine_schraube;11.0;74,64565851;92.99083352088928;34.13082659244537;21.444171911102423;0.0;2.0;6.636363636363637
do_next_step;9.0;74,21712942;95.70425152778625;36.899855732917786;25.063186350870957;0.0;1.0;4.888888888888889
check_kleine_schraube;6.0;73,97541801;91.23115539550781;32.16584324836731;19.86584906865209;0.0;5.0;6.666666666666667
open_linken_greifer;10.0;73,74642074;88.072669506073;28.973940014839172;20.692347239490054;0.0;0.0;5.0
arbeitsmodus;13.0;73,14021496;96.0148274898529;25.69064497947693;25.284637426493212;0.0;0.0;4.3076923076923075
check_griff;10.0;73,0515641;96.51937484741211;51.519328355789185;15.289765053375302;0.0;0.0;4.7
drop_all;9.0;60,22562153;97.21360802650452;13.026401400566101;32.637805383540844;0.0;2.0;5.0
